# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Thu Sep 25 11:32:43 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.019 0.11850 8.90000 0.3062615395 1.9652860953    0.306 -2.083  3.4960  4.943    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.34e-16      0.00 6.982e-01 2.828e-01 3.426e-03 9.243e-04 8.383e-03 -1.000 1.905e-02 9.979 15.444 13.998 12.484 11.162 9.608 8.071 7.455 7.179
0.019 0.11850 8.90000 0.3228765130 1.9965814320    0.323 -2.032  3.4995  4.929    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.09e-16      0.00 6.983e-01 2.826e-01 3.426e-03 9.243e-04 8.382e-03 -1.000 1.905e-02 9.849 15.211 13.789 12.287 10.987 9.458 7.950 7.331 7.059
0.019 0.11850 8.90000 0.3500000238 2.0434175133    0.350 -1.955  3.5052  4.910    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.29e-16      0.00 6.985e-01 2.825e-01 3.426e-03 9.243e-04 8.382e-03 -1.000 1.905e-02 9.657 14.871 13.479 11.992 10.725 9.236 7.771 7.149 6.883
0.019 0.11850 8.90000 0.4000000358 2.1185024810    0.400 -1.806  3.5166  4.865    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.15e-15      0.00 6.985e-01 2.824e-01 3.426e-03 9.243e-04 8.382e-03 -1.000 1.905e-02 9.286 14.230 12.886 11.427 10.222 8.812 7.428 6.798 6.541
0.019 0.11850 8.90000 0.4500000179 2.1822809362    0.450 -1.658  3.5284  4.815    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.61e-15      0.00 6.985e-01 2.824e-01 3.426e-03 9.243e-04 8.382e-03 -1.000 1.905e-02 8.915 13.622 12.310 10.879 9.731 8.395 7.086 6.445 6.199
0.019 0.11850 8.90000 0.5000000000 2.2374541529    0.500 -1.507  3.5422  4.765    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-15      0.00 6.985e-01 2.824e-01 3.426e-03 9.243e-04 8.382e-03 -1.000 1.905e-02 8.538 13.024 11.723 10.320 9.228 7.973 6.742 6.088 5.854
0.019 0.11850 8.90000 0.5500000119 2.2836582633    0.550 -1.351  3.5594  4.719    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.3e-15      0.00 7.003e-01 2.808e-01 3.407e-03 9.190e-04 8.335e-03 -1.000 1.891e-02 8.147 12.415 11.096 9.711 8.680 7.535 6.398 5.729 5.509
0.019 0.11850 8.90000 0.6000000238 2.3211213258    0.600 -1.192  3.5814  4.686    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.73e-15      0.00 7.006e-01 2.805e-01 3.403e-03 9.182e-04 8.328e-03 -1.000 1.893e-02 7.751 11.788 10.423 9.049 8.081 7.093 6.063 5.376 5.181
0.019 0.11850 8.90000 0.6361614466 2.3440374717    0.636 -1.077  3.6002  4.671    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.1e-15      0.00 7.008e-01 2.803e-01 3.401e-03 9.177e-04 8.323e-03 -1.000 1.894e-02 7.462 11.323 9.915 8.567 7.643 6.778 5.822 5.125 4.958
0.019 0.11850 8.90000 0.6499999762 2.3520353107    0.650 -1.034  3.6072  4.666    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.69e-15      0.00 7.009e-01 2.802e-01 3.401e-03 9.175e-04 8.322e-03 -1.000 1.894e-02 7.355 11.150 9.727 8.394 7.487 6.663 5.731 5.035 4.879
0.019 0.11850 8.90000 0.6810808778 2.3686434789    0.681 -0.938  3.6238  4.657    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.23e-15      0.00 7.011e-01 2.800e-01 3.399e-03 9.170e-04 8.317e-03 -1.000 1.888e-02 7.116 10.731 9.288 8.002 7.135 6.409 5.532 4.844 4.712
0.019 0.11850 8.90000 0.7000000477 2.3779267258    0.700 -0.882  3.6341  4.653    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.29e-15      0.00 7.011e-01 2.800e-01 3.398e-03 9.168e-04 8.316e-03 -1.000 1.887e-02 6.975 10.452 9.017 7.768 6.928 6.261 5.416 4.737 4.620
0.019 0.11850 8.90000 0.7500000000 2.3998889087    0.750 -0.732  3.6649  4.657    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.26e-14      0.00 7.013e-01 2.798e-01 3.351e-03 9.151e-04 8.312e-03 -1.000 1.890e-02 6.601 9.457 8.236 7.127 6.392 5.866 5.130 4.525 4.436
0.019 0.11850 8.90000 0.7996642590 2.4186069636    0.799 -0.604  3.6843  4.634    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.68e-14      0.00 7.017e-01 2.794e-01 3.347e-03 9.141e-04 8.303e-03 -1.000 1.889e-02 6.280 8.696 7.680 6.665 6.007 5.536 4.869 4.328 4.248
0.019 0.11850 8.90000 0.8150835037 2.4238874159    0.815 -0.565  3.6902  4.627    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.84e-14      0.00 7.018e-01 2.793e-01 3.346e-03 9.137e-04 8.300e-03 -1.000 1.887e-02 6.183 8.478 7.518 6.530 5.894 5.437 4.790 4.266 4.190
